2019 hard hit % rankings top 50
                     Name  Hard%   wRC+    HR    SLG
60            Aaron Judge  0.538  141.0  27.0  0.540
259            Alex Avila  0.531   97.0   9.0  0.421
394             Jake Lamb  0.530   80.0   6.0  0.353
71            Miguel Sano  0.527  137.0  34.0  0.576
29            Nelson Cruz  0.525  163.0  41.0  0.639
168             Jake Cave  0.523  113.0   8.0  0.455
41             Joey Gallo  0.519  144.0  22.0  0.598
236          Jason Castro  0.517  103.0  13.0  0.435
27         Yordan Alvarez  0.511  178.0  27.0  0.655
19       Christian Yelich  0.508  174.0  44.0  0.671
89          Justin Turner  0.504  132.0  27.0  0.509
96             Matt Olson  0.503  134.0  36.0  0.545
140         Shohei Ohtani  0.496  123.0  18.0  0.505
32         Cody Bellinger  0.492  162.0  47.0  0.629
186          Carson Kelly  0.487  108.0  18.0  0.478
196         Marcell Ozuna  0.484  109.0  29.0  0.472
135           Eric Thames  0.484  116.0  25.0  0.505
102          Bryce Harper  0.481  125.0  35.0  0.510
414          Matt Wieters  0.480   81.0  11.0  0.435
187         Franmil Reyes  0.475  109.0  37.0  0.512
31           David Freese  0.475  162.0  11.0  0.599
159      Paul Goldschmidt  0.475  116.0  34.0  0.476
384        Logan Forsythe  0.475   75.0   7.0  0.353
297         Josh VanMeter  0.474   91.0   8.0  0.408
362        Chris Iannetta  0.473   70.0   6.0  0.417
40           Mitch Garver  0.473  155.0  31.0  0.630
74         Josh Donaldson  0.472  132.0  37.0  0.521
296             Wil Myers  0.472   96.0  18.0  0.418
272        Hunter Renfroe  0.469   98.0  33.0  0.489
52        Freddie Freeman  0.468  138.0  38.0  0.549
73            Jorge Soler  0.467  136.0  48.0  0.569
61         Eugenio Suarez  0.467  133.0  49.0  0.572
335         Tyler O'Neill  0.466   91.0   5.0  0.411
155          Rhys Hoskins  0.462  113.0  29.0  0.454
84              Max Muncy  0.462  134.0  35.0  0.515
161      Christian Walker  0.461  112.0  29.0  0.476
433           Khris Davis  0.460   81.0  23.0  0.387
