2019 hard hit % rankings top 50
                     Name  Hard%   wRC+    HR    SLG
232         Scott Kingery  0.459  101.0  19.0  0.474
664            Max Stassi  0.459    5.0   1.0  0.167
53          J.D. Martinez  0.459  139.0  36.0  0.557
92       Ronald Acuna Jr.  0.458  126.0  41.0  0.518
367          Rougned Odor  0.457   77.0  30.0  0.439
183         J.T. Realmuto  0.456  108.0  25.0  0.493
43         Howie Kendrick  0.455  146.0  17.0  0.572
67         Austin Meadows  0.454  142.0  33.0  0.558
72              Josh Bell  0.454  135.0  37.0  0.569
133            Ryan Braun  0.454  117.0  22.0  0.505
112       Yasmani Grandal  0.454  121.0  28.0  0.468
116         Hunter Dozier  0.453  124.0  26.0  0.522
131          Matt Chapman  0.453  125.0  36.0  0.506
242          Nomar Mazara  0.453   94.0  19.0  0.469
111          Joc Pederson  0.452  127.0  36.0  0.538
114           Adam Duvall  0.451  121.0  10.0  0.567
42        George Springer  0.451  156.0  39.0  0.591
142         Danny Santana  0.451  111.0  28.0  0.534
269         Austin Slater  0.450  100.0   5.0  0.417
136         Shin-Soo Choo  0.449  112.0  24.0  0.455
28           Alex Bregman  0.449  168.0  41.0  0.592
62          Carlos Correa  0.449  143.0  21.0  0.568
35         Anthony Rendon  0.447  154.0  34.0  0.598
93             Will Smith  0.446  132.0  15.0  0.571
478     Curtis Granderson  0.443   70.0  12.0  0.356
171        Brian Anderson  0.443  114.0  20.0  0.468
50           Keston Hiura  0.442  139.0  19.0  0.570
226          Ryan McMahon  0.441   88.0  24.0  0.450
281        Miguel Cabrera  0.441   96.0  12.0  0.398
91       Giovanny Urshela  0.440  132.0  21.0  0.534
64           Trevor Story  0.439  121.0  35.0  0.554
264         Evan Longoria  0.439  101.0  20.0  0.437
20             Mike Trout  0.438  180.0  45.0  0.645
254     Teoscar Hernandez  0.438  102.0  26.0  0.472
198         Manny Machado  0.437  108.0  32.0  0.462
175          Alex Verdugo  0.437  114.0  12.0  0.475
320          Jorge Alfaro  0.437   95.0  18.0  0.425
209          A.J. Pollock  0.437  108.0  15.0  0.468
472           Austin Dean  0.436   71.0   6.0  0.404
149            Tommy Pham  0.434  121.0  21.0  0.450
322          JaCoby Jones  0.434   92.0  11.0  0.430
287             Jay Bruce  0.433   98.0  26.0  0.523
138      Mike Yastrzemski  0.433  121.0  21.0  0.518
66         Carlos Santana  0.433  135.0  34.0  0.515
551           J.T. Riddle  0.433   54.0   6.0  0.371
189         David Peralta  0.432  107.0  12.0  0.461
363           Matt Thaiss  0.432   89.0   8.0  0.422
382          Tyler Austin  0.432   85.0   9.0  0.409
143       Tommy La Stella  0.432  122.0  16.0  0.486
122   Lourdes Gurriel Jr.  0.431  124.0  20.0  0.541
63           Mookie Betts  0.430  135.0  29.0  0.524
88         Bryan Reynolds  0.429  131.0  16.0  0.503
245       Domingo Santana  0.429  107.0  21.0  0.441
132          Brandon Lowe  0.429  125.0  17.0  0.514
151           Ji-Man Choi  0.427  121.0  19.0  0.459
219      Asdrubal Cabrera  0.427   98.0  18.0  0.441
480          Danny Jansen  0.426   68.0  13.0  0.360
75           Hunter Pence  0.425  128.0  18.0  0.552
293        Dansby Swanson  0.425   92.0  17.0  0.422
47          Nolan Arenado  0.425  128.0  41.0  0.583
129            Max Kepler  0.424  121.0  36.0  0.519
466          Ryan O'Hearn  0.424   68.0  14.0  0.369
176            Yandy Diaz  0.424  116.0  14.0  0.476
258          Justin Smoak  0.424  101.0  22.0  0.406
123  Nicholas Castellanos  0.423  121.0  27.0  0.525
224          Kole Calhoun  0.423  108.0  33.0  0.467
342          Austin Riley  0.423   86.0  18.0  0.471
179          Corey Seager  0.423  113.0  19.0  0.483
134          Ozzie Albies  0.423  117.0  24.0  0.500
98            Brad Miller  0.422  126.0  13.0  0.565
57            Pete Alonso  0.422  143.0  53.0  0.583
318          Willy Adames  0.421   97.0  20.0  0.418
39            Ketel Marte  0.421  150.0  32.0  0.592
158          Gary Sanchez  0.421  116.0  34.0  0.525
124        Kyle Schwarber  0.420  120.0  38.0  0.531
147      Francisco Lindor  0.420  114.0  32.0  0.518
99       Michael Brantley  0.419  133.0  22.0  0.503
482        Gordon Beckham  0.419   66.0   6.0  0.372
345        Starlin Castro  0.419   91.0  22.0  0.436
44     Fernando Tatis Jr.  0.419  150.0  22.0  0.590
365         Yadier Molina  0.418   87.0  10.0  0.399
340         Jesus Aguilar  0.417   88.0  12.0  0.389
83          Marcus Semien  0.417  137.0  33.0  0.522
324         Tyler Flowers  0.417   88.0  11.0  0.413
244         Bryan Holaday  0.417  104.0   4.0  0.435
333          Rowdy Tellez  0.416   91.0  21.0  0.449
310        Matt Carpenter  0.416   95.0  15.0  0.392
265           Paul DeJong  0.416  100.0  30.0  0.444
387           Chad Pinder  0.416   87.0  13.0  0.416
348           Josh Naylor  0.416   89.0   8.0  0.403
215            Joey Votto  0.415  101.0  15.0  0.411
313       Travis d'Arnaud  0.415   98.0  16.0  0.433
279          Chance Sisco  0.415   96.0   8.0  0.395
218          Stephen Vogt  0.415  107.0  10.0  0.490
150        Mike Moustakas  0.415  113.0  35.0  0.516
228         Mike Brosseau  0.415  108.0   6.0  0.462
516       Kendrys Morales  0.414   63.0   2.0  0.253
144          Jesse Winker  0.414  113.0  16.0  0.473
194        Pablo Sandoval  0.414  110.0  14.0  0.507
562            Lucas Duda  0.413   46.0   4.0  0.324
360         Brandon Dixon  0.413   86.0  15.0  0.435
45              Juan Soto  0.413  142.0  34.0  0.548
177       Eduardo Escobar  0.413  109.0  35.0  0.511
80             J.D. Davis  0.413  136.0  22.0  0.527
234             Nate Lowe  0.413  107.0   7.0  0.454
317       Marwin Gonzalez  0.412   93.0  15.0  0.414
463            Josh Rojas  0.412   68.0   2.0  0.312
192        Garrett Cooper  0.412  111.0  15.0  0.446
397             Ty France  0.412   83.0   7.0  0.402
126           Tommy Edman  0.411  123.0  11.0  0.500
341          Justin Upton  0.411   92.0  12.0  0.416
253             C.J. Cron  0.411  101.0  25.0  0.469
316        Ryan Zimmerman  0.410   89.0   6.0  0.415
