2018 hard hit % rankings top 150
                     Name  Hard%   wRC+    HR    SLG
608         Yadiel Rivera  0.389   36.0   1.0  0.216
262        Chris Iannetta  0.389   85.0  11.0  0.385
540          Chris Owings  0.389   52.0   4.0  0.302
401      Gorkys Hernandez  0.388   84.0  15.0  0.391
87        Scooter Gennett  0.388  125.0  23.0  0.490
259           Paul DeJong  0.387  103.0  19.0  0.433
186           Kurt Suzuki  0.387  108.0  12.0  0.444
325        Preston Tucker  0.387   88.0   6.0  0.404
550         Brandon Dixon  0.387   48.0   5.0  0.356
284            David Bote  0.386   96.0   6.0  0.408
548         Lewis Brinson  0.386   56.0  11.0  0.338
60          Manny Machado  0.386  140.0  37.0  0.538
499         Drew Robinson  0.385   55.0   3.0  0.294
200      Asdrubal Cabrera  0.385  111.0  23.0  0.458
116         J.T. Realmuto  0.385  126.0  21.0  0.484
269       Marwin Gonzalez  0.384  103.0  16.0  0.409
320       Tucker Barnhart  0.384   89.0  10.0  0.372
188          Chris Taylor  0.384  113.0  17.0  0.444
125        Gleyber Torres  0.384  122.0  24.0  0.480
127           Yasiel Puig  0.384  123.0  23.0  0.494
274            Lucas Duda  0.384   96.0  14.0  0.418
209              Ian Happ  0.383  106.0  15.0  0.408
438          Tyler Naquin  0.383   71.0   3.0  0.356
95           Lorenzo Cain  0.383  124.0  10.0  0.417
180        Scott Schebler  0.382  108.0  17.0  0.439
139       Eduardo Escobar  0.382  118.0  23.0  0.489
330        Avisail Garcia  0.382   93.0  19.0  0.438
195        Brian Anderson  0.382  112.0  11.0  0.400
557       Abraham Almonte  0.380   48.0   3.0  0.284
243         Leonys Martin  0.379  102.0  11.0  0.425
66        Xander Bogaerts  0.379  133.0  23.0  0.522
402           Neil Walker  0.379   82.0  11.0  0.354
